package_name,version_min,version_max,source_type,source_details,install_opts
AppliedPredictiveModeling,,,cran,http://cran.wustl.edu/,
BradleyTerry2,,,cran,http://cran.wustl.edu/,
brglm,,,cran,http://cran.wustl.edu/,
caret,,,cran,http://cran.wustl.edu/,
chron,,,cran,http://cran.wustl.edu/,
coin,,,cran,http://cran.wustl.edu/,
combinat,,,cran,http://cran.wustl.edu/,
CORElearn,,,cran,http://cran.wustl.edu/,
crayon,,,cran,http://cran.wustl.edu/,
cubist,,,cran,http://cran.wustl.edu/,
data.tree,,,cran,http://cran.wustl.edu/,
DiagrammeR,,,cran,http://cran.wustl.edu/,
dtplyr,,,cran,http://cran.wustl.edu/,
earth,,,cran,http://cran.wustl.edu/,
elasticnet,,,cran,http://cran.wustl.edu/,
ElemStatLearn,,,cran,http://cran.wustl.edu/,
fastICA,,,cran,http://cran.wustl.edu/,
fields,,,cran,http://cran.wustl.edu/,
forecast,,,cran,http://cran.wustl.edu/,
formatR,,,cran,http://cran.wustl.edu/,
fracdiff,,,cran,http://cran.wustl.edu/,
gam,,,cran,http://cran.wustl.edu/,
gbm,,,cran,http://cran.wustl.edu/,
geojson,,,cran,http://cran.wustl.edu/,
geojsonio,,,cran,http://cran.wustl.edu/,
GGally,,,cran,http://cran.wustl.edu/,
gplots,,,cran,http://cran.wustl.edu/,
HistData,,,cran,http://cran.wustl.edu/,
influenceR,,,cran,http://cran.wustl.edu/,
ipred,,,cran,http://cran.wustl.edu/,
ISLR,,,cran,http://cran.wustl.edu/,
ISwR,,,cran,http://cran.wustl.edu/,
lars,,,cran,http://cran.wustl.edu/,
lava,,,cran,http://cran.wustl.edu/,
leaps,,,cran,http://cran.wustl.edu/,
manipulate,,,cran,http://cran.wustl.edu/,
mda,,,cran,http://cran.wustl.edu/,
miniUI,,,cran,http://cran.wustl.edu/,
mlbench,,,cran,http://cran.wustl.edu/,
MLmetrics,,,cran,http://cran.wustl.edu/,
ModelMetrics,,,cran,http://cran.wustl.edu/,
multcomp,,,cran,http://cran.wustl.edu/,
openxlsx,,,cran,http://cran.wustl.edu/,
packrat,,,cran,http://cran.wustl.edu/,
party,,,cran,http://cran.wustl.edu/,
pgmm,,,cran,http://cran.wustl.edu/,
PKI,,,cran,http://cran.wustl.edu/,
plotmo,,,cran,http://cran.wustl.edu/,
plotrix,,,cran,http://cran.wustl.edu/,
praise,,,cran,http://cran.wustl.edu/,
pROC,,,cran,http://cran.wustl.edu/,
prodlim,,,cran,http://cran.wustl.edu/,
profileModel,,,cran,http://cran.wustl.edu/,
protolite,,,cran,http://cran.wustl.edu/,
quantmod,,,cran,http://cran.wustl.edu/,
rnadomForest,,,cran,http://cran.wustl.edu/,
rattle,,,cran,http://cran.wustl.edu/,
rgdal,,,cran,http://cran.wustl.edu/,
RGtk2,,,cran,http://cran.wustl.edu/,
RGtk2Extras,,,cran,http://cran.wustl.edu/,
rhdf5,,,cran,http://cran.wustl.edu/,
rJava,,,cran,http://cran.wustl.edu/,
RJSONIO,,,cran,http://cran.wustl.edu/,
rlang,,,cran,http://cran.wustl.edu/,
RMYSQL,,,cran,http://cran.wustl.edu/,
ROCR,,,cran,http://cran.wustl.edu/,
rsconnect,,,cran,http://cran.wustl.edu/,
spam,,,cran,http://cran.wustl.edu/,
strucchange,,,cran,http://cran.wustl.edu/,
subselect,,,cran,http://cran.wustl.edu/,
superpc,,,cran,http://cran.wustl.edu/,
swirl,,,cran,http://cran.wustl.edu/,
TeachingDemos,,,cran,http://cran.wustl.edu/,
testthat,,,cran,http://cran.wustl.edu/,
TH.data,,,cran,http://cran.wustl.edu/,
timeDate,,,cran,http://cran.wustl.edu/,
translations,,,cran,http://cran.wustl.edu/,
tseries,,,cran,http://cran.wustl.edu/,
TTR,,,cran,http://cran.wustl.edu/,
UsingR,,,cran,http://cran.wustl.edu/,
xlsx,,,cran,http://cran.wustl.edu/,
xlsxjars,,,cran,http://cran.wustl.edu/,
